GOterm	NCBITaxon:10090	NCBITaxon:33090	NCBITaxon:3702	NCBITaxon:40674
GO:0000434	1	1	1	1
GO:0000435	1	1	1	1
GO:0000436	1	1	1	1
GO:0000437	1	1	1	1
GO:0000438	1	1	1	1
GO:0000439	1	1	1	1
GO:0000440	1	1	1	1
GO:0000444	1	1	1	1
GO:0000445	1	1	1	1
GO:0000446	1	1	1	1
GO:0000447	1	1	1	1
GO:0000448	1	1	1	1
GO:0000449	1	1	1	1
GO:0000450	1	1	1	1
GO:0000451	1	1	1	1
GO:0000452	1	1	1	1
GO:0000453	1	1	1	1
GO:0000454	1	1	1	1
GO:0000455	1	1	1	1
GO:0000457	1	1	1	1
GO:0000458	1	1	1	1
GO:0000459	1	1	1	1
GO:0000460	1	1	1	1
GO:0000461	1	1	1	1
GO:0000462	1	1	1	1
GO:0000463	1	1	1	1
GO:0000464	1	1	1	1
GO:0000465	1	1	1	1
GO:0000466	1	1	1	1
GO:0000467	1	1	1	1
GO:0000468	1	1	1	1
GO:0000469	1	1	1	1
GO:0000470	1	1	1	1
GO:0000471	1	1	1	1
GO:0000472	1	1	1	1
GO:0000473	1	1	1	1
GO:0000474	1	1	1	1
GO:0000475	1	1	1	1
GO:0000476	1	1	1	1
GO:0000477	1	1	1	1
GO:0000478	1	1	1	1
GO:0000479	1	1	1	1
GO:0000480	1	1	1	1
GO:0000481	1	1	1	1
GO:0000482	1	1	1	1
GO:0000483	1	1	1	1
GO:0000484	1	1	1	1
GO:0000485	1	1	1	1
GO:0000486	1	1	1	1
GO:0000487	1	1	1	1
GO:0000488	1	1	1	1
GO:0000489	1	1	1	1
GO:0000491	1	1	1	1
GO:0000492	1	1	1	1
GO:0000493	1	1	1	1
GO:0000494	1	1	1	1
GO:0000495	1	1	1	1
GO:0000496	1	1	1	1
GO:0000497	1	1	1	1
GO:0000498	1	1	1	1
GO:0000499	1	1	1	1
GO:0000500	1	1	1	1
GO:0000501	0	0	0	0
GO:0000502	1	1	1	1
GO:0000506	1	1	1	1
GO:0000578	1	1	1	1
GO:0000700	1	1	1	1
GO:0000701	1	1	1	1
GO:0000702	1	1	1	1
GO:0000703	1	1	1	1
GO:0000704	1	1	1	1
GO:0000705	1	1	1	1
GO:0000706	1	1	1	1
GO:0000707	1	1	1	1
GO:0000708	1	1	1	1
GO:0000709	1	1	1	1
GO:0000710	1	1	1	1
GO:0000711	1	1	1	1
GO:0000712	1	1	1	1
GO:0000713	1	1	1	1
GO:0000714	1	1	1	1
GO:0000715	1	1	1	1
GO:0000716	1	1	1	1
GO:0000717	1	1	1	1
GO:0000718	1	1	1	1
GO:0000719	1	1	1	1
GO:0000720	1	1	1	1
GO:0000721	1	1	1	1
GO:0000722	1	1	1	1
GO:0000723	1	1	1	1
GO:0000724	1	1	1	1
GO:0000725	1	1	1	1
GO:0000726	1	1	1	1
GO:0000727	1	1	1	1
GO:0000728	1	1	1	1
GO:0000729	1	1	1	1
GO:0000730	1	1	1	1
GO:0000731	1	1	1	1
GO:0000732	1	1	1	1
GO:0000733	1	1	1	1
GO:0000734	1	1	1	1
GO:0000735	1	1	1	1
GO:0000736	1	1	1	1
GO:0000737	1	1	1	1
GO:0000738	1	1	1	1
GO:0000740	1	1	1	1
GO:0000741	1	1	1	1
GO:0000742	1	1	1	1
GO:0000743	1	1	1	1
GO:0000744	0	0	0	0
GO:0000745	0	0	0	0
GO:0000746	1	1	1	1
GO:0000747	1	1	1	1
GO:0000748	0	0	0	0
GO:0000749	0	0	0	0
GO:0000750	0	0	0	0
GO:0000751	0	0	0	0
GO:0000752	0	0	0	0
GO:0000753	1	1	1	1
GO:0000754	0	0	0	0
GO:0000755	0	0	0	0
GO:0000756	1	1	1	1
GO:0000758	0	0	0	0
GO:0000759	0	0	0	0
GO:0000760	1	1	1	1
GO:0000761	0	0	0	0
GO:0000762	0	1	1	0
GO:0000765	1	1	1	1
GO:0000766	1	1	1	1
GO:0000767	1	1	1	1
GO:0000768	1	1	1	1
GO:0000769	1	1	1	1
GO:0000770	1	1	1	1
GO:0000771	1	1	1	1
GO:0000772	1	1	1	1
GO:0000773	1	1	1	1
GO:0000774	1	1	1	1
GO:0000775	1	1	1	1
GO:0000776	1	1	1	1
GO:0000777	1	1	1	1
GO:0000778	1	1	1	1
GO:0000779	1	1	1	1
GO:0000780	1	1	1	1
GO:0000781	1	1	1	1
GO:0000782	1	1	1	1
GO:0000783	1	1	1	1
GO:0000784	1	1	1	1
GO:0000785	1	1	1	1
GO:0000786	1	1	1	1
GO:0000787	1	1	1	1
GO:0000788	1	1	1	1
GO:0000789	1	1	1	1
GO:0000790	1	1	1	1
GO:0000791	1	1	1	1
GO:0000792	1	1	1	1
GO:0000793	1	1	1	1
GO:0000794	1	1	1	1
GO:0000795	1	1	1	1
GO:0000796	1	1	1	1
GO:0000797	1	1	1	1
GO:0000798	1	1	1	1
GO:0000799	1	1	1	1
GO:0000800	1	1	1	1
GO:0000801	1	1	1	1
GO:0000802	1	1	1	1
GO:0000803	1	1	1	1
GO:0000804	0	1	1	0
GO:0000805	1	1	1	1
GO:0000806	1	1	1	1
GO:0000807	0	1	1	0
GO:0000808	1	1	1	1
GO:0000809	1	1	1	1
GO:0000810	1	1	1	1
GO:0000811	1	1	1	1
GO:0000812	1	1	1	1
GO:0000813	1	1	1	1
GO:0000814	1	1	1	1
GO:0000815	1	1	1	1
GO:0000817	1	1	1	1
GO:0000818	1	1	1	1
GO:0000819	1	1	1	1
GO:0000820	1	1	1	1
GO:0000821	1	1	1	1
GO:0000822	1	1	1	1
GO:0000823	1	1	1	1
GO:0000824	1	1	1	1
GO:0000825	1	1	1	1
GO:0000827	1	1	1	1
GO:0000828	1	1	1	1
GO:0000829	1	1	1	1
GO:0000830	1	1	1	1
GO:0000831	1	1	1	1
GO:0000832	1	1	1	1
GO:0000833	1	1	1	1
GO:0000834	1	1	1	1
GO:0000835	1	1	1	1
GO:0000836	1	1	1	1
GO:0000837	1	1	1	1
GO:0000838	1	1	1	1
GO:0000839	1	1	1	1
GO:0000900	1	1	1	1
GO:0000901	1	1	1	1
GO:0000902	1	1	1	1
GO:0000904	1	1	1	1
GO:0000905	0	0	0	0
GO:0000906	1	1	1	1
