inbred,aspect,db_object_symbol,rc,num_gold,num_pred,evalType,source
B73v3,P,GRMZM2G043435,0.894736842105263,19,346,CAFA,GOMAP
B73v3,P,GRMZM2G441541,0.894736842105263,19,346,CAFA,GOMAP
B73v3,P,GRMZM2G001457,1,12,112,CAFA,GOMAP
B73v3,P,GRMZM5G898735,1,14,68,CAFA,GOMAP
B73v3,P,GRMZM2G090086,0.857142857142857,14,29,CAFA,GOMAP
B73v3,P,GRMZM2G062788,0,1,9,CAFA,GOMAP
B73v3,P,GRMZM2G397518,0.315789473684211,19,56,CAFA,GOMAP
B73v3,P,GRMZM2G034572,0.142857142857143,7,24,CAFA,GOMAP
B73v3,C,GRMZM2G300066,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G049370,0.8,10,24,CAFA,GOMAP
B73v3,C,GRMZM2G106233,1,13,27,CAFA,GOMAP
B73v3,C,GRMZM2G111014,1,8,17,CAFA,GOMAP
B73v3,C,GRMZM2G092678,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G123204,1,9,19,CAFA,GOMAP
B73v3,C,GRMZM2G024150,0.714285714285714,21,39,CAFA,GOMAP
B73v3,C,GRMZM2G175019,1,8,9,CAFA,GOMAP
B73v3,C,GRMZM2G427369,0.8,10,28,CAFA,GOMAP
B73v3,C,GRMZM2G013652,0.888888888888889,9,14,CAFA,GOMAP
B73v3,C,AC186795.3_FG006,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G164558,0.8,10,23,CAFA,GOMAP
B73v3,C,GRMZM2G043162,0.428571428571429,21,22,CAFA,GOMAP
B73v3,C,GRMZM2G448174,1,10,25,CAFA,GOMAP
B73v3,C,GRMZM2G133844,1,6,23,CAFA,GOMAP
B73v3,C,GRMZM2G131489,0.8,10,36,CAFA,GOMAP
B73v3,C,GRMZM2G178960,0.888888888888889,9,11,CAFA,GOMAP
B73v3,C,GRMZM2G336908,1,8,12,CAFA,GOMAP
B73v3,C,GRMZM2G469150,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G473463,1,11,34,CAFA,GOMAP
B73v3,C,GRMZM2G010555,0.5,10,13,CAFA,GOMAP
B73v3,C,GRMZM2G380457,0.8,10,24,CAFA,GOMAP
B73v3,C,GRMZM2G170460,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G178460,0.708333333333333,24,34,CAFA,GOMAP
B73v3,C,GRMZM2G110023,1,9,24,CAFA,GOMAP
B73v3,C,GRMZM2G005984,0.483870967741936,31,21,CAFA,GOMAP
B73v3,C,AC234528.1_FG005,1,9,13,CAFA,GOMAP
B73v3,C,GRMZM2G157369,1,12,19,CAFA,GOMAP
B73v3,C,GRMZM2G081268,1,9,27,CAFA,GOMAP
B73v3,C,GRMZM2G454719,1,8,14,CAFA,GOMAP
B73v3,C,GRMZM2G179797,0.888888888888889,9,11,CAFA,GOMAP
B73v3,C,GRMZM2G161932,0.875,8,8,CAFA,GOMAP
B73v3,C,GRMZM2G007651,1,9,18,CAFA,GOMAP
B73v3,C,GRMZM2G111216,1,9,42,CAFA,GOMAP
B73v3,C,GRMZM2G121494,0.714285714285714,21,18,CAFA,GOMAP
B73v3,C,GRMZM2G377539,0.615384615384615,13,9,CAFA,GOMAP
B73v3,C,GRMZM2G314652,1,8,12,CAFA,GOMAP
B73v3,C,GRMZM2G133314,0.875,8,32,CAFA,GOMAP
B73v3,C,GRMZM2G463280,1,9,27,CAFA,GOMAP
B73v3,C,GRMZM2G148867,0.888888888888889,9,18,CAFA,GOMAP
B73v3,C,AC188023.3_FG005,1,8,9,CAFA,GOMAP
B73v3,C,GRMZM2G089317,1,9,25,CAFA,GOMAP
B73v3,C,GRMZM2G110294,1,8,16,CAFA,GOMAP
B73v3,C,GRMZM2G048907,0.714285714285714,21,43,CAFA,GOMAP
B73v3,C,GRMZM2G002754,1,8,20,CAFA,GOMAP
B73v3,C,GRMZM2G073743,1,6,20,CAFA,GOMAP
B73v3,C,GRMZM2G155626,1,8,21,CAFA,GOMAP
B73v3,C,GRMZM2G167243,0.888888888888889,9,9,CAFA,GOMAP
